"Kods","RegNr","Regions","Nosaukums","Adrese","Epasts","Talrunis","DirektoraVards","DirektoraUzvards","Plusma","Izglitojamie","Urbanizacija"
271303,"2713901037","Daugavpils","Daugavpils 3. vidusskola","RAIŅA IELA 30, DAUGAVPILS, LV-5401","daug3vsk@inbox.lv","65423030, 65421923","VITĀLIJS","AZAREVIČS","Krievu",797,"lielpilseta"
271306,"2713901222","Daugavpils","J. Raiņa Daugavpils 6. vidusskola","KOMUNĀLĀ IELA 2, DAUGAVPILS, LV-5418","daug6vsk@inbox.lv","65425312, 65421176","LARISA","KOŽEVŅIKOVA","Krievu",338,"lielpilseta"
271309,"2713901238","Daugavpils","Daugavpils 9. vidusskola","18. NOVEMBRA IELA 47, DAUGAVPILS, LV-5400","9.vsk@inbox.lv","65421458","ARTURS","FEDOTOVS","Krievu",639,"lielpilseta"
271310,"2713900714","Daugavpils","Daugavpils 10. vidusskola","TAUTAS IELA 11, DAUGAVPILS, LV-5404","daug.10vsk@inbox.lv","65432507, 65476148","VALIJA","SALNA","Krievu",734,"lielpilseta"
271312,"2713901240","Daugavpils","Daugavpils 12. vidusskola","KAUŅAS IELA 8, DAUGAVPILS, LV-5404","12vsk@daugavpils.apollo.lv","65438952, 65438451","ELITA","BOLIŅA","Latviešu",547,"lielpilseta"
271313,"2713901135","Daugavpils","Daugavpils 13. vidusskola","VALKAS IELA 4a, DAUGAVPILS, LV-5417","d13vsk@gmail.com","65436237, 65435028","ANDŽELA","SKUTELE","Krievu",714,"lielpilseta"
271315,"2713901176","Daugavpils","Daugavpils 15. vidusskola","VALKAS IELA 4, DAUGAVPILS, LV-5417","skola@vsk15.lv","65431227, 65434045","ANATOLIJS","GRŽIBOVSKIS","Krievu",690,"lielpilseta"
271316,"2713901231","Daugavpils","Daugavpils 16. vidusskola","AVEŅU IELA 40, DAUGAVPILS, LV-5422","vsk16@inbox.lv","65476141, 65476140","OLGA","DUKŠINSKA","LK",657,"lielpilseta"
271318,"2713901235","Daugavpils","Daugavpils 17. vidusskola","VALMIERAS IELA 5, DAUGAVPILS, LV-5404","17school@apollo.lv","65432175","IVARS","ŠĶINČS","LK",715,"lielpilseta"
271319,"2716901232","Daugavpils","J.Pilsudska Daugavpils valsts poļu ģimnāzija","VARŠAVAS IELA 2, DAUGAVPILS, LV-5404","dpolvsk@apollo.lv","65451003, 65451001","GAĻINA","SMUĻKO","Poļu",320,"lielpilseta"
271321,"2713902243","Daugavpils","Daugavpils Centra vidusskola","KANDAVAS IELA 17, DAUGAVPILS, LV-5401","info@dcv.lv","65428131 65429872","JURIJS","VISOCKIS","Krievu",561,"lielpilseta"
272201,"2722901223","Daugavpils","Daugavpils 1. speciālā pamatskola","18. NOVEMBRA IELA 197V, DAUGAVPILS, LV-5417","specskola1@e-apollo.lv","65421297, 65422360","ROBERTS","ANTIŅŠ","LK",49,"lielpilseta"
272203,"2720901224","Daugavpils","Daugavpils logopēdiskā internātpamatskola - attīstības centrs","ABAVAS IELA 1, DAUGAVPILS, LV-5417","logoped@apollo.lv matem@inbox.lv","65442776 65441740","MARIKA","RAIČONOKA","LK",228,"lielpilseta"
273402,"2734003068","Daugavpils","Daugavpils tehnikums","STRĀDNIEKU IELA 16, DAUGAVPILS, LV-5404","dvt@daugvt.lv","65436893, 27741511",,,"Krievu",22,"lielpilseta"
281101,"2811902953","Jelgava","Jelgavas 3. sākumskola","UZVARAS IELA 10, JELGAVA, LV-3001","3ssk@izglitiba.jelgava.lv","63021073","JURIS","SKRUPSKIS","Latviešu",690,"lielpilseta"
281102,"2811902954","Jelgava","Jelgavas 4. sākumskola","PULKVEŽA OSKARA KALPAKA IELA 34, JELGAVA, LV-3001","4ssk@izglitiba.jelgava.lv","63022236","AGITA","LUNDBERGA","Latviešu",963,"lielpilseta"
281203,"2812900143","Jelgava","Jelgavas 2. pamatskola","SARMAS IELA 2, JELGAVA, LV-3001","2psk@izglitiba.jelgava.lv","63021601","INĀRA","KEIŠA","Krievu",614,"lielpilseta"
281281,"2812802996","Jelgava","Lazdiņas privātā pamatskola ""Punktiņš""","JĀŅA ASARA IELA 12, JELGAVA, LV-3001","punktins@inbox.lv","63023718",,,"Latviešu",26,"lielpilseta"
281302,"2819902423","Jelgava","Jelgavas Valsts ģimnāzija","MĀTERA IELA 44, JELGAVA, LV-3000","vgim@izglitiba.jelgava.lv","63023373","INESE","BANDENIECE","Latviešu",680,"lielpilseta"
281304,"2813900137","Jelgava","Jelgavas 4. vidusskola","AKMEŅU IELA 1, JELGAVA, LV-3004","4vsk@izglitiba.jelgava.lv;","63029555","AGRIS","CELMS","Latviešu",1057,"lielpilseta"
281305,"2813900138","Jelgava","Jelgavas 5. vidusskola","ASPAZIJAS IELA 20, JELGAVA, LV-3000","5vsk@izglitiba.jelgava.lv","63026073","NATELA","SEĻIŠČEVA","Krievu",673,"lielpilseta"
281306,"2813900139","Jelgava","Jelgavas 6. vidusskola","LOKA MAĢISTRĀLE 29, JELGAVA, LV-3004","6vsk@izglitiba.jelgava.lv","63020275","ILZE","ARBIDANE","Krievu",571,"lielpilseta"
281308,"2816900140","Jelgava","Jelgavas Spīdolas ģimnāzija","MĀTERA IELA 30, JELGAVA, LV-3001","sgim@izglitiba.jelgava.lv","63029212","ILZE","VILKĀRSE","Latviešu",479,"lielpilseta"
281309,"2813902959","Jelgava","Jelgavas Tehnoloģiju vidusskola","MEIJU CEĻŠ 9, JELGAVA, LV-3007","jtvsk@izglitiba.jelgava.lv","6302005","VALENTĪNA","MAIDO","Latviešu",554,"lielpilseta"
281401,"2814900141","Jelgava","Jelgavas Vakara (maiņu) vidusskola","SKOLOTĀJU IELA 8, JELGAVA, LV-3001","vvsk@izglitiba.jelgava.lv","63027312","BRIGITA","PREISA","LK",303,"lielpilseta"
282202,"2822902715","Jelgava","Jelgavas 2. internātpamatskola","FILOZOFU IELA 50, JELGAVA, LV-3001","2intpsk@izglitiba.jelgava.lv","63021773","LARISA","SIMKINA","LK",161,"lielpilseta"
282203,"2822901097","Jelgava","Jelgavas 1. internātpamatskola","INSTITŪTA IELA 4, JELGAVA, LV-3002","1sint@izglitiba.jelgava.lv","63023684","GUNDA","BALODE","Latviešu",133,"lielpilseta"
283001,"2831902686","Jelgava","Jelgavas Amatu vidusskola","AKADĒMIJAS IELA 25, JELGAVA, LV-3001","avsk@izglitiba.jelgava.lv","63020305",,,"Latviešu",40,"lielpilseta"
291101,"2911901386","Jūrmala","Sākumskola ""Ābelīte""","PLŪDU IELA 4a, JŪRMALA, LV-2015","sskabelite@edu.jurmala.lv","67811174","NATĀLIJA","ZARĀNE","Krievu",107,"lielpilseta"
291102,"2911901383","Jūrmala","Sākumskola ""Taurenītis""","KĻAVU IELA 29/31, JŪRMALA, LV-2015","taurenitis@jurmala.edu.lv","67811170","SARMĪTE","LIMBA","Latviešu",129,"lielpilseta"
291104,"2911901882","Jūrmala","Jūrmalas sākumskola ""Atvase""","RAIŅA IELA 53, JŪRMALA, LV-2011","atvase@jurmala.edu.lv","67737532","MIRDZA","VĪNBERGA","Latviešu",361,"lielpilseta"
291201,"2912901351","Jūrmala","Slokas pamatskola","SKOLAS IELA 3, JŪRMALA, LV-2011","slokaspsk@jurmala.edu.lv","67811509","GUNTARS","MIĶELSONS","Latviešu",320,"lielpilseta"
291203,"2912901382","Jūrmala","Jūrmalas Alternatīvā skola","VIESTURA IELA 6, JŪRMALA, LV-2010","jas@jas.lv","67755088","EGILS","BLŪMS","Latviešu",165,"lielpilseta"
291204,"2912901441","Jūrmala","Vaivaru pamatskola","SKAUTU IELA 2, JŪRMALA, LV-2008","vaivarupsk@navigator.lv","67811175","INESE","KĀRKLIŅA","Latviešu",148,"lielpilseta"
291301,"2919902697","Jūrmala","Jūrmalas Valsts ģimnāzija","RAIŅA IELA 55, JŪRMALA, LV-2011","jvg@edu.jurmala.lv","67735842","SANDRA","RONE","Latviešu",302,"lielpilseta"
291302,"2913901344","Jūrmala","Jūrmalas pilsētas Kauguru vidusskola","RAIŅA IELA 118, JŪRMALA, LV-2016","kauguruvsk@edu.jurmala.lv","67733131","ZINAĪDA","TARASENKO","Krievu",660,"lielpilseta"
291303,"2913901345","Jūrmala","Ķemeru vidusskola","TUKUMA IELA 10, JŪRMALA, LV-2012","kemeruvsk@edu.jurmala.lv","67765520","SVETLANA","SEŅKINA","Latviešu",114,"lielpilseta"
291304,"2913901346","Jūrmala","Pumpuru vidusskola","KRONVALDA IELA 8, JŪRMALA, LV-2008","pumpuruvsk@edu.jurmala.lv","67767312","IRĒNA","KAUSINIECE","Latviešu",487,"lielpilseta"
291305,"2913901349","Jūrmala","Jūrmalas pilsētas Jaundubultu vidusskola","LIELUPES IELA 21, JŪRMALA, LV-2015","jaundubultuvsk@edu.jurmala.lv","67760866","ĒRIKS","ANNUŠKĀNS","Krievu",294,"lielpilseta"
291306,"2913901347","Jūrmala","Jūrmalas pilsētas Lielupes vidusskola","AIZPUTES IELA 1A, JŪRMALA, LV-2010","lielupesvsk@edu.jurmala.lv","67753280","INITA","VANKA-TREIFELDE","Latviešu",207,"lielpilseta"
291307,"2913901348","Jūrmala","Jūrmalas pilsētas Mežmalas vidusskola","RŪPNIECĪBAS IELA 13, JŪRMALA, LV-2016","mezmalasvsk@edu.jurmala.lv","67739677",,,"Krievu",427,"lielpilseta"
291308,"2913901352","Jūrmala","Majoru vidusskola","RĪGAS IELA 3, JŪRMALA, LV-2015","majorupsk@edu.jurmala.lv","67761666","ILZE","BĒRZIŅA","Latviešu",445,"lielpilseta"
291381,"2913801521","Jūrmala","Latvijas Starptautiskā skola","VIESTURA IELA 6a, JŪRMALA, LV-2010","frontdesk@isl.edu.lv","67755146, 67755018","MARY ELIZABETH","RUSSMAN","Angļu",299,"lielpilseta"
291401,"2914901350","Jūrmala","Jūrmalas vakara vidusskola","LIELUPES IELA 21, JŪRMALA, LV-2015","vakaravsk@edu.jurmala.lv","67760121","VALDA","REISA","LK",272,"lielpilseta"
292201,"2922901384","Jūrmala","Jūrmalas pilsētas internātpamatskola","DZIRNAVU IELA 50, JŪRMALA, LV-2011","specskola@edu.jurmala.lv","67732233","INDULIS","SKUDRA","LK",69,"lielpilseta"
301102,"3011900940","Liepāja","Liepājas Ezerkrasta sākumskola","LAUKU IELA 54, LIEPĀJA, LV-3411","ezerkrastassk@liepaja.edu.lv","63433871","DACE","FELDMANE","Latviešu",371,"lielpilseta"
301104,"3011902612","Liepāja","Liepājas Centra sākumskola","ULIHA IELA 33, LIEPĀJA, LV-3401","centrassk@liepaja.edu.lv","63422080","KRISTĪNE","BĀRDULE","Latviešu",556,"lielpilseta"
301182,"3011800081","Liepāja","Privātsākumskola ""Varavīksne""","REPUBLIKAS IELA 23, LIEPĀJA, LV-3401","privatsakumskola@apollo.lv","63426918","INGVILDA","PARFJONOVA","Latviešu",51,"lielpilseta"
301201,"3012900937","Liepāja","Liepājas 3. pamatskola","LAZARETES IELA 8, LIEPĀJA, LV-3402","3psk@liepaja.edu.lv","63456296","ALEKSANDRS","KOZIČS","Krievu",407,"lielpilseta"
301203,"3012901048","Liepāja","Liepājas internātpamatskola","KRŪMU IELA 65, LIEPĀJA, LV-3402","internatpsk@liepaja.edu.lv","63442103","GUNTA","LAUBERGA","Latviešu",114,"lielpilseta"
301280,"3012800408","Liepāja","Liepājas Katoļu pamatskola","PELDU IELA 17, LIEPĀJA, LV-3401","pamatskola@inbox.lv","63427160","IVETA","KALNIŅA","Latviešu",143,"lielpilseta"
301301,"3019902788","Liepāja","Liepājas Valsts 1. ģimnāzija","AUSEKĻA IELA 9, LIEPĀJA, LV-3401","1gim@liepaja.edu.lv","63423461","HELVIJS","VALCIS","Latviešu",547,"lielpilseta"
301302,"3013900936","Liepāja","Liepājas A.Puškina 2. vidusskola","LIEDAGA IELA 5, LIEPĀJA, LV-3416","2vsk@liepaja.edu.lv","63431772","EDĪTE","PLAMŠE","Krievu",687,"lielpilseta"
301305,"3013900932","Liepāja","Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola","RĪGAS IELA 50, LIEPĀJA, LV-3400","dalp5v@apollo.lv","63423551","INTA","KORŅĒJEVA","Latviešu",1137,"lielpilseta"
301306,"3013900933","Liepāja","Liepājas Raiņa 6. vidusskola","GANĪBU IELA 106, LIEPĀJA, LV-3411","liepa6vsk@inbox.lv","63484344","KĀRLIS","STRAUTIŅŠ","Latviešu",506,"lielpilseta"
301307,"3013900934","Liepāja","Liepājas 7. vidusskola","CELMU IELA 6, LIEPĀJA, LV-3417","7vsk@liepaja.edu.lv","63442710","INESE","FERSTERE","Krievu",808,"lielpilseta"
301309,"3013900925","Liepāja","J. Čakstes Liepājas pilsētas 10. vidusskola","ALEJAS IELA 16, LIEPĀJA, LV-3401","10vsk@liepaja.edu.lv","63424489,63424300,63423304","INTA","FREIBERGA","Latviešu",705,"lielpilseta"
301311,"3013900930","Liepāja","Liepājas pilsētas 12. vidusskola","KRIŠJĀŅA VALDEMĀRA IELA 35/37, LIEPĀJA, LV-3401","12vsk@liepaja.edu.lv","63422953","VALERIJS","JEPISKOPOSOVS","Krievu",557,"lielpilseta"
301312,"3013900931","Liepāja","Liepājas 15. vidusskola","OSKARA KALPAKA IELA 96, LIEPĀJA, LV-3405","15vsk@liepaja.edu.lv","63442024","GINTS","ROČĀNS","Latviešu",947,"lielpilseta"
301313,"3013900924","Liepāja","Liepājas 8. vidusskola","DUNIKAS IELA 9/11, LIEPĀJA, LV-3416","8vsk@liepaja.edu.lv","63484369","JEVGĒNIJA","MICKĒVIČA","LK",584,"lielpilseta"
301401,"3014900943","Liepāja","Liepājas vakara (maiņu) vidusskola","RAIŅA IELA 5, LIEPĀJA, LV-3401","vakaravsk@liepaja.edu.lv","63425686","ALLA","MATVEJEVA","LK",339,"lielpilseta"
302201,"3020900938","Liepāja","Liepājas speciālā internātpamatskola","ULIHA IELA 56, LIEPĀJA, LV-3401","specinternatpsk@liepaja.edu.lv","63422874","ATIS","BRIKMANIS","LK",205,"lielpilseta"
311101,"3111903094","Rēzekne","Rēzeknes sākumskola","KAĻĶU IELA 12, RĒZEKNE, LV-4601",,"64623758","ILONA","STRAMKALE","Latviešu",418,"lielpilseta"
311302,"3113900062","Rēzekne","Rēzeknes 2. vidusskola","DĀRZU IELA 17, RĒZEKNE, LV-4601","rez2vsk@rezekne.lv","64607980","IGORS","SERGEJEVS","Krievu",548,"lielpilseta"
311303,"3113900063","Rēzekne","Rēzeknes 3. vidusskola","18. NOVEMBRA IELA 33, RĒZEKNE, LV-4600","3vsk@rezekne.lv","64622654","LIDIJA","OSTAPCEVA","Krievu",439,"lielpilseta"
311305,"3113900065","Rēzekne","Rēzeknes 5. vidusskola","RŪPNĪCAS IELA 11, RĒZEKNE, LV-4604","5vsk@rezekne.lv","64633413","VIJA","POIKĀNE","Latviešu",504,"lielpilseta"
311306,"3113900066","Rēzekne","Rēzeknes 6. vidusskola","KOSMONAUTU IELA 6, RĒZEKNE, LV-4600","6vsk@rezekne.lv","+37164633660","RAISA","MEIERE","Krievu",555,"lielpilseta"
311309,"3116902163","Rēzekne","Rēzeknes valsts poļu ģimnāzija","LUBĀNAS IELA 49, RĒZEKNE, LV-4600","poluvsk@rezekne.lv","64636680","VALENTĪNA","ŠIDLOVSKA","Poļu",489,"lielpilseta"
311310,"3119902527","Rēzekne","Rēzeknes Valsts 1. ģimnāzija","DZIRNAVU IELA 3a, RĒZEKNE, LV-4601","rv1g@rezekne.lv","64607372","JĀNIS","POPLAVSKIS","Latviešu",423,"lielpilseta"
311380,"3113802708","Rēzekne","Rēzeknes Katoļu vidusskola","LATGALES IELA 82, RĒZEKNE, LV-4601","rekat@inbox.lv","64625180","MARIJA","MICKĀNE","Latviešu",198,"lielpilseta"
311381,"3113803087","Rēzekne","Austrumlatvijas Tehnoloģiju vidusskola","ATBRĪVOŠANAS ALEJA 90, RĒZEKNE, LV-4601","atv@ru.lv","28325368","AIVARS","VILKASTE","Latviešu",30,"lielpilseta"
311402,"3114903079","Rēzekne","Rēzeknes 4. vidusskola","VIĻĀNU IELA 2, RĒZEKNE, LV-4601","4vsk@rezekne.lv","64621830","JĀNIS","GAILIS","LK",450,"lielpilseta"
312201,"3122900069","Rēzekne","Rēzeknes logopēdiskā internātpamatskola","F. VARSLAVĀNA IELA 5, RĒZEKNE, LV-4601","logopeduskola@rezekne.lv","64625003","RITA","ZOMMERE","LK",168,"lielpilseta"
321101,"3211902422","Ventspils","Ventspils Centra sākumskola","BRĪVĪBAS IELA 15, VENTSPILS, LV-3601","centra.sakumskola@ventspils.lv","63629937","ILZE","BUTKUS","Latviešu",350,"lielpilseta"
321201,"3212900030","Ventspils","Ventspils 1. pamatskola","PĻAVAS IELA 27, VENTSPILS, LV-3601","1.pamatskola@ventspils.lv","63622643","SANDRA","ŠULCE","Latviešu",344,"lielpilseta"
321202,"3212900031","Ventspils","Ventspils 2. pamatskola","BĒRZU IELA 54, VENTSPILS, LV-3600","2.pamatskola@ventspils.lv","63622964","SINTIJA","BIRZIŅA","LK",265,"lielpilseta"
321302,"3213900033","Ventspils","Ventspils 2. vidusskola","KULDĪGAS IELA 65, VENTSPILS, LV-3601","2.vidusskola@ventspils.lv","63622211","LUDMILA","VOLODINA","Krievu",541,"lielpilseta"
321303,"3213900034","Ventspils","Ventspils 3. vidusskola","TĀRGALES IELA 5, VENTSPILS, LV-3602","3.vidusskola@ventspils.lv","63624505","VERA","ŠENGELIJA","Krievu",388,"lielpilseta"
321304,"3213900035","Ventspils","Ventspils 4. vidusskola","RĪGAS IELA 12a, VENTSPILS, LV-3601","4.vidusskola@ventspils.lv","63624006","DAGNIJA","GROMOVA","Latviešu",703,"lielpilseta"
321306,"3213900037","Ventspils","Ventspils 6. vidusskola","SARKANMUIŽAS DAMBIS 1, VENTSPILS, LV-3601","6.vidusskola@ventspils.lv","63621586","VALENTĪNA","JANKOVSKA","LK",636,"lielpilseta"
321307,"3213900036","Ventspils","Ventspils 5. vidusskola","TĀRGALES IELA 61, VENTSPILS, LV-3602","5.vidusskola@ventspils.lv","63662589","SANDRA","MAIZĪTE","Latviešu",330,"lielpilseta"
321308,"3219903101","Ventspils","Ventspils Valsts 1. ģimnāzija","KULDĪGAS IELA 1, VENTSPILS, LV-3601","gimnazija@ventspils.lv","63622595","PĀRSLA","KOPMANE","Latviešu",369,"lielpilseta"
321401,"3214900038","Ventspils","Ventspils vakara vidusskola","SAULES IELA 37, VENTSPILS, LV-3601","vakara.vidusskola@ventspils.lv","63624728","IJA","LASMANE","LK",263,"lielpilseta"
341103,"3411900787","Rīgas Centra rajons","Rīgas Valda Zālīša sākumskola","KALPAKA BULVĀRIS 8, CENTRA RAJONS, RĪGA, LV-1050","vzps@riga.lv","67331821, 67224080","ELITA","RĪTERE","Latviešu",520,"riga"
341202,"3412900786","Rīgas Centra rajons","Rīgas Centra daiļamatniecības pamatskola","ASPAZIJAS BULVĀRIS 34, CENTRA RAJONS, RĪGA, LV-1050","cdps@riga.lv","67227548, 67226324","AIJA","NEILANDE","Latviešu",360,"riga"
341204,"3412900804","Rīgas Centra rajons","Pamatskola ""Rīdze""","KRIŠJĀŅA VALDEMĀRA IELA 2, CENTRA RAJONS, RĪGA, LV-1010","ridzeps@riga.lv","67848044","ANTRA","ŽUKOVSKA","Latviešu",528,"riga"
341301,"3419900793","Rīgas Centra rajons","Rīgas Valsts 1. ģimnāzija","RAIŅA BULVĀRIS 8, CENTRA RAJONS, RĪGA, LV-1050","rv1g@riga.lv","67227412","MĀRIS","BRASLA","Latviešu",1066,"riga"
341302,"3419900794","Rīgas Centra rajons","Rīgas Valsts 3. ģimnāzija","GRĒCINIEKU IELA 10, CENTRA RAJONS, RĪGA, LV-1050","r3g@riga.lv","67037408","ANDRIS","PRIEKULIS","Latviešu",834,"riga"
341305,"3413900799","Rīgas Centra rajons","Rīgas 22. vidusskola","BRUŅINIEKU IELA 10, CENTRA RAJONS, RĪGA, LV-1001","r22vs@riga.lv","67272126","IRINA","ROMANOVA","Krievu",643,"riga"
341308,"3413900797","Rīgas Centra rajons","Rīgas 40. vidusskola","TĒRBATAS IELA 15/17, CENTRA RAJONS, RĪGA, LV-1011","r40vs@riga.lv","67114908, 67114909","JEĻENA","VEDIŠČEVA","Krievu",1081,"riga"
341309,"3413900790","Rīgas Centra rajons","Rīgas Centra humanitārā vidusskola","KRIŠJĀŅA BARONA IELA 97A, CENTRA RAJONS, RĪGA, LV-1012","chvs@riga.lv","67272228","INETA","RUDZĪTE","Latviešu",994,"riga"
341312,"3413902866","Rīgas Centra rajons","Rīgas Natālijas Draudziņas vidusskola","BRUŅINIEKU IELA 24A, CENTRA RAJONS, RĪGA, LV-1001","rndv@riga.lv","67278063","PĒTERIS","ŠEVČENKO","Latviešu",666,"riga"
341380,"3416801138","Rīgas Centra rajons","Privātā Rīgas Tehnolingvistiskā ģimnāzija","ĢERTRŪDES IELA 27, CENTRA RAJONS, RĪGA, LV-1011","rtlk@apollo.lv","67312504","GAĻINA","POSPELOVA","Krievu",55,"riga"
341401,"3414900800","Rīgas Centra rajons","Rīgas Raiņa 8. vakara (maiņu) vidusskola","KRIŠJĀŅA BARONA IELA 71, CENTRA RAJONS, RĪGA, LV-1001","r8vmvs@riga.lv","67311546","JURIS","ŠMITS","Latviešu",291,"riga"
342101,"3420900801","Rīgas Centra rajons","Rīgas sākumskola ""Valodiņa""","BLAUMAŅA IELA 26, CENTRA RAJONS, RĪGA, LV-1011","rvalsk@riga.lv","67848880, 67848877","MĀRĪTE","TEIVĀNE","Latviešu",168,"riga"
342401,"3424903099","Rīgas Centra rajons","Rīgas 1. speciālā internātpamatskola - attīstības centrs","ĢERTRŪDES IELA 18, CENTRA RAJONS, RĪGA, LV-1011","r1sips@riga.lv","67294164, 67294064","LAILA","LAPIŅA","Latviešu",158,"riga"
351101,"3511900641","Rīgas Kurzemes rajons","Āgenskalna sākumskola","KANDAVAS IELA 4 k-1, KURZEMES RAJONS, RĪGA, LV-1083","aksk@riga.lv","67458430, 67451258","INĀRA","KAĶĪTE","Latviešu",547,"riga"
351202,"3512900779","Rīgas Kurzemes rajons","Rīgas Valdorfskola","BALTĀ IELA 10, KURZEMES RAJONS, RĪGA, LV-1055","rvds@riga.lv","67601836, 67613528","MĀRA","SVILĀNE","Latviešu",374,"riga"
351301,"3519900642","Rīgas Kurzemes rajons","Rīgas Valsts vācu ģimnāzija","ĀGENSKALNA IELA 21A, KURZEMES RAJONS, RĪGA, LV-1048","rvvg@riga.lv","67611146, 67612480","SANDRA","SĪLE","Latviešu",638,"riga"
351302,"3513900771","Rīgas Kurzemes rajons","Rīgas 19. vidusskola","MIGLAS IELA 9, KURZEMES RAJONS, RĪGA, LV-1016","r19vs@riga.lv","67430558","AINA","BALODE","Latviešu",284,"riga"
351303,"3513900836","Rīgas Kurzemes rajons","Rīgas 33. vidusskola","STŪRMAŅU IELA 23, KURZEMES RAJONS, RĪGA, LV-1016","r33vs@riga.lv","67433415, 67433426, 22131479","MARIJA","KOVAĻČUKA","Krievu",767,"riga"
